game_id,date,month,day_of_week,hour,start_time,end_time,my_color,my_rating,opp_rating,rating_diff,result,win,loss,draw,opening,my_accuracy,opp_accuracy,moves
0,2026-01-01,January,Thursday,17,,2026-01-01 17:38:00,black,554,560,-6,loss,0,1,0,Queens Pawn Opening Zukertort Chigorin Variation,45.32,75.77,1. d4 1... Nc6 2. Nf3 2... d5 3. Nc3 3... f6 4. e3 4... Be6 5. Ne5 5... Nxe5 6. dxe5 6... fxe5 7. Be2 7... d4 8. Ne4 8... Qd5 9. Ng5 9... Qxg2 10. Nxe6 10... Qxh1+ 11. Bf1 11... Nf6 12. Nxc7+ 12... Kd8 13. Nxa8 13... Qxh2 14. Qd3 14... g6 15. Qc4 15... Bh6 16. Qc7+ 16... Ke8 17. Bb5+ 17... Kf7 18. Bc4+ 18... Kg7 19. Qxe7#
1,2026-01-01,January,Thursday,18,,2026-01-01 18:19:36,white,541,576,-35,loss,0,1,0,Kings Pawn Opening Kings Knight Variation,,,1. e4 1... e5 2. Nf3 2... f6 3. d4 3... Bd6 4. dxe5 4... fxe5 5. Qd5 5... Qe7 6. Bc4 6... Nf6 7. Ng5 7... Rf8 8. O-O 8... Nxd5 9. Bxd5 9... c6 10. Bc4 10... b5 11. Bb3 11... h6 12. Nf3 12... g5 13. c4 13... b4 14. Be3 14... a5 15. c5 15... Bxc5 16. Bxc5 16... Qxc5 17. Nbd2 17... Ba6 18. Rac1 18... Qd6 19. Nc4 19... Bxc4 20. Bxc4 20... Rf4 21. Rcd1 21... Qc5 22. Bd3 22... Ra7 23. Rc1 23... Qd6 24. Rfd1 24... Qe6 25. Bb5 25... cxb5 26. Rc8+ 26... Ke7 27. Rxb8 27... Qxa2 28. Rxb5 28... Rxe4 29. Nxe5 29... d6 30. Ng6+ 30... Kf6 31. Rb6 31... Re6 32. Nf8 32... Re1+ 33. Rxe1 33... Qxb2 34. Rxd6+ 34... Kf7 35. Ng6 35... Qc3 36. Kf1 36... Qc5 37. Ree6 37... Qc1+ 38. Ke2 38... Qc2+ 39. Kf1 39... Rc7 40. Ne5+ 40... Kg7 41. Rxh6 41... Qc5 42. Rdg6+ 42... Kf8 43. Rh8+ 43... Ke7 44. Rxg5 44... Kf6 45. f4 45... Qb5+ 46. Kg1 46... Rc1+ 47. Kf2 47... b3 48. Rh7 48... Qc5+ 49. Kg3 49... Qc3+ 50. Kg4 50... Ke6 51. f5+ 51... Kxe5 52. Rh6 52... b2 53. f6+ 53... Kd6 54. f7+ 54... Ke7 55. Rh7 55... Qc4+ 56. Kh5 56... Qe2+ 57. Kh6 57... Qe6+ 58. Kh5 58... b1=Q 59. Rg8 59... Qxh7+ 60. Kg5 60... Qexf7 61. Kg4 61... Qfxg8+ 62. Kf4 62... Rc4+ 63. Kf3 63... Qd5+ 64. Kf2 64... Qxh2 65. Ke2 65... Qhxg2+ 66. Ke3 66... Rc3+ 67. Kf4 67... Qgf3#
2,2026-01-02,January,Friday,18,,2026-01-02 18:52:52,black,530,585,-55,loss,0,1,0,Nimzowitsch Defense Kennedy Linksspringer Variation 3...Nce7,,,1. e4 1... Nc6 2. d4 2... e5 3. d5 3... Nce7 4. d6 4... cxd6 5. Qxd6 5... Qa5+ 6. Bd2 6... Qa4 7. b3 7... Qxe4+ 8. Ne2 8... Qxc2 9. Na3 9... Qb2 10. Bc3 10... Qc2 11. Nxc2 11... Ng6 12. Na3 12... Bxd6 13. Nb5 13... Bc7 14. Nxc7+ 14... Kd8 15. Nxa8 15... d6 16. Rd1 16... Ke7 17. Bb4 17... Nf4 18. Nxf4 18... exf4 19. Rxd6 19... Nf6 20. Rd4+ 20... Ke8 21. Nc7#
3,2026-01-02,January,Friday,19,,2026-01-02 19:41:56,black,540,468,72,win,1,0,0,Nimzowitsch Defense,85.08,78.64,1. e4 1... Nc6 2. Bc4 2... e6 3. d3 3... Bd6 4. Nf3 4... Nf6 5. e5 5... Nxe5 6. Qe2 6... Nxc4 7. dxc4 7... O-O 8. O-O 8... c6 9. Bg5 9... Be7 10. Nc3 10... Qc7 11. g3 11... Re8 12. Bf4 12... Bd6 13. Qd3 13... Bxf4 14. gxf4 14... Qxf4 15. Ne4 15... Nxe4 16. Qd4 16... Qxf3 17. Rae1 17... Qg4+ 18. Kh1 18... Ng3+ 19. Kg1 19... Qxd4 20. hxg3 20... d5 21. b3 21... dxc4 22. bxc4 22... Qxc4 23. Rc1 23... g5 24. a3 24... e5 25. Kg2 25... Be6 26. Kg1 26... Red8 27. Kh2 27... Rd2 28. Kg1 28... Bh3 29. a4 29... Bxf1 30. Rxf1 30... Rad8 31. Kg2 31... Rd1 32. Rg1 32... Rxg1+ 33. Kxg1 33... Rd1+ 34. Kg2 34... Qxc2 35. Kf3 35... Rd3+ 36. Kg2 36... Rd2 37. a5 37... Rxf2+ 38. Kh3 38... Rh2+ 39. Kg4 39... Qe4+ 40. Kxg5 40... h6+ 41. Kf6 41... Qg6+ 42. Ke7 42... Qg7 43. Kd7 43... f6+ 44. Kc8 44... Rd2 45. a6 45... Qf8+ 46. Kxb7 46... Rd7+ 47. Kxc6 47... Qc8+ 48. Kb5 48... Rd5+ 49. Kb4 49... Qb8+ 50. Kc4 50... Rd8 51. g4 51... Qc7+ 52. Kb5 52... Rd5+ 53. Kb4 53... Qc5+ 54. Kb3 54... Rd3+ 55. Kb2 55... Qc3+ 56. Kb1 56... Rd4 57. g5 57... Rb4+ 58. Ka2 58... Qb2#
4,2026-01-02,January,Friday,21,,2026-01-02 21:57:13,white,530,600,-70,loss,0,1,0,Reti Opening Kingside Fianchetto Variation 2.e4 Bg7,,,1. Nf3 1... g6 2. e4 2... Bg7 3. c3 3... b6 4. Bd3 4... Bb7 5. O-O 5... e6 6. Qe1 6... Qe7 7. Bc4 7... Qd6 8. e5 8... Qc6 9. d3 9... Nh6 10. Be3 10... Ng4 11. Bd4 11... d6 12. h3 12... dxe5 13. hxg4 13... exd4 14. Nxd4 14... Qxg2#
5,2026-01-02,January,Friday,22,,2026-01-02 22:17:40,black,519,538,-19,loss,0,1,0,Queens Pawn Opening Mikenas Defense,,,1. d4 1... Nc6 2. h3 2... e5 3. Nf3 3... d6 4. dxe5 4... dxe5 5. Qxd8+ 5... Nxd8 6. Nxe5 6... Be6 7. Bf4 7... Bd6 8. Nd2 8... f6 9. Nd3 9... g5 10. Bxd6 10... cxd6 11. Nb4 11... Ne7 12. O-O-O 12... O-O 13. Kb1 13... Ndc6 14. Nd3 14... Rac8 15. Nb3 15... b6 16. e3 16... Bf5 17. g4 17... Be4 18. Rg1 18... Nb4 19. Nd4 19... Nxc2 20. Nxc2 20... Rxc2 21. Kxc2 21... Rc8+ 22. Kd2 22... Nd5 23. Ke2 23... Rc2+ 24. Ke1 24... Rc5 25. Nxc5 25... Bc2 26. Rxd5
6,2026-01-04,January,Sunday,20,,2026-01-04 20:04:00,white,519,769,-250,loss,0,1,0,Philidor Defense Hanham Variation 4.Bc4,48.62,66.56,1. e4 1... e5 2. Nf3 2... d6 3. d4 3... Nd7 4. Bc4 4... Ngf6 5. Qd3 5... g6 6. Bg5 6... Bg7 7. O-O 7... O-O 8. Nc3 8... h6 9. Be3 9... c6 10. Nh4 10... Kh8 11. dxe5 11... Nxe5 12. Qd4 12... Nfg4 13. Rad1 13... Nf3+ 14. gxf3 14... Bxd4 15. Bxd4+ 15... Ne5 16. Bb3 16... Qxh4 17. Bxe5+ 17... dxe5 18. Bxf7 18... Rxf7 19. Rd8+ 19... Kg7 20. Rfd1 20... Rxf3 21. Kf1 21... Qxf2#
7,2026-01-08,January,Thursday,22,,2026-01-08 22:06:43,white,528,415,113,win,1,0,0,Kings Pawn Opening Kings Knight Variation,85.04,55.65,1. e4 1... e5 2. Nf3 2... Qf6 3. c3 3... Bc5 4. d4 4... exd4 5. cxd4 5... Bb6 6. e5 6... Qf5 7. Bc4 7... g5 8. Nxg5 8... d6 9. Nxf7 9... dxe5 10. Nxh8 10... exd4 11. Bxg8 11... d3 12. O-O 12... Bxf2+ 13. Rxf2
8,2026-01-08,January,Thursday,22,,2026-01-08 22:55:48,black,518,586,-68,loss,0,1,0,Queens Pawn Opening Chigorin Variation 2...Nf6,,,1. d4 1... d5 2. Nc3 2... Nf6 3. g3 3... e6 4. Bg2 4... Nc6 5. Nb5 5... Bb4+ 6. c3 6... Ba5 7. Bg5 7... O-O 8. Bxf6 8... Qxf6 9. Qd3 9... a6 10. Na3 10... Nxd4 11. Nf3 11... Nxf3+ 12. Bxf3 12... Bd7 13. O-O 13... Rfd8 14. Nc2 14... Bb5 15. Qd2 15... Rd6 16. Nd4 16... Bd7 17. Qc1 17... e5 18. Nb3 18... Bb6 19. Qd1 19... Bc6 20. Nd2 20... e4 21. Bg2 21... Re8 22. e3 22... Re5 23. Qg4 23... Rf5 24. f3 24... exf3 25. Bxf3 25... Bxe3+ 26. Kg2 26... Bxd2 27. Rad1 27... Bb5 28. Rf2 28... Be3 29. Rc2 29... d4 30. c4 30... Bxc4 31. Be4 31... Bf1+ 32. Rxf1 32... g6 33. Rxf5 33... Qe6 34. h3 34... d3 35. Bxd3 35... Rxd3 36. Rf3 36... Rd2+ 37. Rxd2 37... Bxd2 38. Qxe6 38... fxe6 39. Rd3 39... Ba5 40. Rd7 40... Kf8 41. Rxh7 41... Kg8 42. Re7 42... c5 43. Rxe6 43... c4 44. Rxg6+ 44... Kf7 45. Rg5 45... c3 46. bxc3 46... Bxc3 47. Rf5+ 47... Ke6 48. Rf3 48... Kd5 49. Rxc3 49... Kd4 50. Rc7 50... b5 51. Ra7 51... Kc5 52. Rxa6 52... Kb4 53. h4 53... Kc3 54. h5
9,2026-01-08,January,Thursday,23,,2026-01-08 23:15:38,white,529,500,29,win,1,0,0,Philidor Defense Exchange Variation 4.Nxd4,,,1. e4 1... e5 2. Nf3 2... d6 3. d4 3... exd4 4. Nxd4 4... c5 5. Bb5+ 5... Nc6 6. Nxc6 6... bxc6 7. Bxc6+ 7... Bd7 8. Bxa8 8... Qxa8 9. Bf4 9... Qxe4+ 10. Be3 10... Bg4 11. Qc1 11... Qxg2 12. Rf1 12... Qf3 13. Qd1 13... Qe4 14. Qd3 14... Qf3 15. Nd2 15... Qd1+ 16. Rxd1 16... Bxd1 17. Kxd1 17... Be7 18. Qb5+ 18... Kd8 19. Qb8+ 19... Kd7 20. Qxa7+ 20... Kd8 21. Bf4 21... Nf6 22. Re1 22... Re8 23. Ne4 23... Nxe4 24. Rxe4 24... f5 25. Qa8+ 25... Kd7 26. Qa7+ 26... Kd8 27. Re3 27... Bh4 28. h3 28... Bxf2 29. Bg5+ 29... Kc8 30. Rxe8#
